,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
317,leningradskiy,100,RU,1567296236,96,69.38,178.42,38.6,9.22
318,saldanha,0,PT,1567296289,64,41.42,-6.55,68.3,2.42
319,amahai,83,ID,1567296290,77,-3.31,129.0,76.22,14.58
320,airai,69,TL,1567296130,37,-8.93,125.41,78.92,0.49
321,minna,100,NG,1567296290,94,9.62,6.55,74.24,4.07
322,abalak,50,NE,1567296291,36,15.46,6.28,89.36,0.92
323,nantucket,1,US,1567296291,77,41.28,-70.1,69.8,9.01
324,cajati,99,BR,1567296291,98,-24.73,-48.11,59.12,2.55
325,zatoka,0,PL,1567296291,88,50.04,20.52,68.0,3.36
326,kochkurovo,20,RU,1567296292,84,54.03,45.43,47.06,5.1
327,manyana,0,AU,1567296292,62,-35.26,150.51,66.99,13.87
328,kiama,0,AU,1567296110,62,-34.67,150.86,66.99,13.87
329,kibaya,99,RW,1567296292,82,-2.2,30.56,64.0,5.99
330,vredendal,0,ZA,1567296293,79,-31.68,18.49,56.6,4.32
331,bajo baudo,100,BT,1567296233,92,27.49,89.9,50.84,1.28
332,chapais,20,CA,1567296293,57,49.78,-74.86,51.8,8.05
333,buraydah,20,SA,1567296293,18,26.33,43.97,93.2,3.36
334,bodden town,59,GB,1567296294,81,51.2,-2.52,57.99,5.82
335,toba,75,JP,1567296294,78,34.47,136.83,77.0,6.93
336,luganville,75,VU,1567296294,78,-15.51,167.18,82.4,8.05
337,kruisfontein,45,ZA,1567296294,72,-34.0,24.73,51.2,11.61
338,deputatskiy,6,RU,1567296164,45,69.3,139.9,44.36,4.81
339,okha,100,RU,1567296295,93,53.59,142.95,54.44,10.98
340,tiksi,14,RU,1567296296,67,71.64,128.87,44.72,2.26
341,pusztafoldvar,0,HU,1567296296,52,46.53,20.8,70.0,9.17
342,boden,55,SE,1567296296,93,65.83,21.69,57.2,4.7
343,muisne,20,EC,1567296296,83,0.61,-80.02,77.0,10.29
344,tura,98,RU,1567296297,79,64.27,100.22,51.38,2.59
345,kirakira,100,SB,1567296297,76,-10.46,161.92,81.26,6.17
346,zaykovo,100,RU,1567296297,95,57.56,62.76,42.92,7.29
347,lompoc,75,US,1567296183,77,34.64,-120.46,87.01,9.17
348,wamba,42,CD,1567296298,99,2.14,27.99,64.7,1.34
349,sabya,21,SA,1567296298,75,17.15,42.62,89.6,3.36
350,kodiak,1,US,1567296116,77,39.95,-94.76,75.2,5.82
351,baturaja,52,ID,1567296298,88,-4.12,104.17,71.9,3.11
352,necochea,72,AR,1567296110,53,-38.55,-58.74,47.6,5.46
353,kuryk,0,KZ,1567296299,44,43.18,51.68,60.2,7.94
354,waipawa,0,NZ,1567296299,65,-39.94,176.59,60.01,4.23
355,asola,20,IT,1567296299,83,45.22,10.41,73.4,3.36
356,yantal,83,RU,1567296300,87,56.85,105.25,57.68,2.98
357,san cristobal,25,ML,1567296002,61,13.3,-4.9,82.52,5.7
358,georgetown,20,GY,1567295999,78,6.8,-58.16,82.4,11.41
359,fort abbas,100,IN,1567296300,88,17.96,79.61,74.24,11.36
360,grand-santi,67,GF,1567296301,72,4.27,-54.38,76.76,2.77
361,punganuru,100,IN,1567296301,83,13.36,78.57,70.28,7.11
362,nome,1,US,1567296179,78,30.04,-94.42,87.8,5.26
363,poum,19,MK,1567296188,58,41.28,20.71,58.94,3.11
364,maceio,40,BR,1567296017,83,-9.67,-35.74,71.6,4.7
365,middelburg,100,NL,1567296302,72,51.5,3.61,66.2,9.17
366,san joaquin,25,ML,1567296002,61,13.3,-4.9,82.52,5.7
367,amsterdam,0,NL,1567296040,82,52.37,4.89,66.0,8.05
368,nuuk,75,GL,1567296141,81,64.17,-51.74,44.6,6.93
369,iracoubo,30,GF,1567296303,85,5.48,-53.21,77.48,6.53
370,guardiagrele,100,IT,1567296303,83,42.2,14.22,73.99,4.7
371,margate,75,AU,1567296180,66,-43.03,147.26,60.01,5.82
372,noumea,75,NC,1567296171,88,-22.28,166.46,75.99,2.24
373,kargasok,100,RU,1567296304,96,59.06,80.87,48.14,5.99
374,mehamn,35,NO,1567296305,87,71.03,27.85,50.84,8.19
375,laramie,75,US,1567296305,19,41.31,-105.59,82.4,3.36
376,andros town,0,GR,1567296305,60,37.83,24.93,75.99,18.34
377,salem,75,US,1567296281,39,44.94,-123.03,84.99,9.17
378,saint-pierre,40,FR,1567296306,77,48.95,4.24,64.4,4.7
379,thurles,42,IE,1567296306,93,52.68,-7.82,55.0,7.92
380,jacareacanga,53,BR,1567296307,44,-6.22,-57.76,82.7,1.99
381,hualmay,97,PE,1567296101,91,-11.1,-77.61,58.94,14.29
382,sechura,25,PE,1567296172,85,-5.56,-80.82,64.16,11.83
383,paamiut,100,GL,1567296307,87,61.99,-49.67,44.36,28.86
